x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
9.234838525813745e-104,2.604731289684246e-104,1.8178020576533065e-104,1.508306778075931e-104,1.2622834954855414e-46,2.6344022486048207e-104,9.951563983216563e-105,1.6334598125802206e-104,7.143612543882654e-104,2.6817784323284063e-105,5.358904713815626e-105,3.1827590672095744e-104,9.155800261318598e-104,3.343159376417403e-104,5.1801660070676995e-104,1.4340045132856752e-103,4.687791313410289e-104,1.2974952260124898e-103,5.572736773355126e-104,1.3816941951959847e-104,6.636496733660248e-104,2.5253853901359626e-104,6.842913914461962e-104,3.344977409783719e-105,1.3516833612727355e-105,1.2280527843012063e-103,5.289261157198115e-104,2.8049290630644917e-104,7.961274354621722e-104,3.999992160107939e-104,3.35596364152138e-104,1.6676643722111556e-103,5.3626010588796107e-104,9.536661638142041e-105,9.943609696938119e-104,2.1341393754143362e-104,5.971984533316576e-104,3.7526689795261086e-104,1.5128505052242333e-103,1.257162085201786e-73,4.3263781451820153e-104,4.9557391855659074e-104,3.0695060154110244e-104,1.60786862543586e-103,2.101654915009596e-104,1.4547224302147166e-103,1.202315743011158e-103,6.696217496385503e-104,1.1923370055340949e-103,1.73590180821822e-104
1.07517853935451e-104,3.647695662881397e-104,1.631465070902096e-104,2.047926283346959e-104,7.692337868656678e-104,1.5532777450709527e-104,6.106201932625356e-104,3.7706198691947305e-104,2.3418068053511082e-104,2.053474518184473e-104,1.2138409853467523e-103,2.982275837227644e-104,5.218873825873221e-104,3.507574800372489e-104,6.060452305950102e-104,8.206207415259896e-104,6.406879098801936e-104,8.203412602392534e-104,3.3346889613139574e-104,9.634094184807888e-104,5.662576369660647e-104,9.157714910812862e-104,1.3662070701231066e-103,8.927581994749331e-104,3.0590272243947466e-104,1.8851413707814866e-104,7.910623294093843e-104,6.180843513437163e-104,1.2356327919093178e-103,3.9185009601103605e-35,5.3179503829757106e-104,7.927351963057236e-104,1.168080530189466e-103,1.5672725207002642e-103,6.222512136322994e-104,1.1063561930128863e-103,7.116211568578045e-104,1.756531176119051e-104,7.3013767770336e-105,7.615634674123882e-104,1.2708213838297375e-104,1.3662401602221746e-104,1.1822968819736719e-104,3.5532647279874756e-104,5.326027493321336e-104,1.2888786706510324e-103,1.6075823385610564e-104,1.0481832121968193e-103,6.081230220278897e-104,2.2710556294845905e-104
4.3541924478512824e-104,1.279369190282415e-103,9.267743749875043e-104,4.1162537954684777e-104,7.986982388763186e-104,1.8400581403533924e-104,5.2033875729669536e-104,7.59489936443442e-104,5.686529926042613e-104,1.0325133783124855e-103,2.818196844425234e-104,7.948949703589019e-104,5.8479958241797136e-67,7.846285615342406e-105,8.349133536034994e-104,2.977821538229653e-104,4.902266055984527e-104,3.3124130976996065e-105,2.033113481025201e-104,2.1852654206538288e-104,7.72192502346406e-105,4.4507941765161157e-104,1.2283979710181786e-103,2.7176151252585423e-104,6.2376101067595946e-105,1.3468558948903757e-103,2.7001629057271564e-104,2.0385418913768665e-104,8.307849415839026e-104,1.4472523728780044e-103,3.907195325305646e-104,1.6648165042120663e-104,4.328707485939714e-104,7.301550805857773e-104,5.856089719016052e-106,7.235730003681769e-104,1.3711126480022538e-104,3.713320806158075e-104,7.330527671985811e-104,1.2692332057068125e-103,2.1113259831834442e-104,2.2852643153040156e-103,5.249926081321496e-104,4.6049585293994935e-104,5.836874550929226e-104,3.3323536701747744e-104,5.884913269998332e-104,2.871800822902494e-104,1.3902334024557513e-104,8.29708288033957e-104
1.2295866982120267e-104,8.176427282624233e-104,3.559564885365545e-104,2.7219681120372314e-104,8.606370084873373e-104,6.229404191349185e-104,1.4824547414049176e-104,7.095664750136712e-104,6.616888619927289e-104,2.5832577666161313e-104,5.332468156636008e-104,2.1664700167438826e-104,3.249306193752125e-104,4.7451097276573286e-104,9.343522029258933e-105,8.494771509990691e-104,4.847289872574785e-104,2.6421578477405237e-104,2.6609505448681904e-104,3.2076054916618164e-104,2.5754078810005137e-104,9.488127510125448e-70,3.824009526302806e-104,1.8558295379347602e-104,7.641916119216736e-104,4.965655314529977e-104,2.9725582361166806e-104,1.5341482305854617e-103,5.7693558161094745e-108,7.996654026660662e-104,1.3791882603588147e-104,1.2575678874502921e-104,9.604398360159037e-104,1.0957098595712113e-104,4.791692655584059e-104,9.092379819114734e-104,1.3236353040144016e-103,2.4321046878558576e-104,4.761055138580306e-104,1.1219904016559356e-103,6.880281454791285e-104,7.185768399524776e-104,1.6433458007069805e-104,2.7136223966175567e-104,4.066113015531126e-104,1.9715731983324116e-104,1.1600145849879884e-104,7.604636194935651e-104,1.3273240158199744e-103,6.848461488561256e-104
7.403884501677853e-104,9.505966897463428e-104,1.585744211065359e-104,4.656336751998755e-104,1.9196536310685195e-104,3.4359745945784044e-104,5.3838097173499575e-104,2.1867599245066336e-105,7.905952733775602e-104,2.291962640583229e-104,4.073316948199495e-104,1.1373054468714154e-104,1.748962642743568e-105,7.699299301972998e-104,5.24887245367935e-104,2.9086431026169514e-104,3.461281755173388e-104,7.621949992306804e-104,4.1399509717715e-104,3.087344697427335e-104,9.19239846703862e-104,4.913721226632353e-104,1.6850699089863882e-104,8.647988326908685e-106,3.9750154396289654e-104,1.210575464141103e-103,6.91748749527427e-104,1.1149995093186587e-103,9.409684493538085e-104,5.103132589031501e-104,1.831068963745586e-104,2.4111473149662605e-104,7.338340471978836e-104,6.862522975545319e-104,6.704149158202181e-104,4.607460799416625e-104,5.216538264833023e-105,5.7951988062936996e-105,3.5577605660759e-105,2.287518466497665e-104,6.264444324999428e-104,4.714766689284729e-104,1.4594071551762478e-103,8.972854550491124e-104,4.814375380404749e-104,3.3588540113417694e-104,8.430721545486263e-104,1.2663247107214184e-103,9.918865368228109e-104,1.4979406938742372e-103
4.374381862937596e-105,9.762870499934043e-104,5.112822569988642e-104,2.1038824230852172e-104,5.453459484855226e-104,8.592728249915665e-104,2.0480982566023917e-104,5.872570445034903e-104,2.813623240134826e-104,4.6535809075430916e-104,1.6117209580737455e-104,4.258521962183373e-104,1.227555973263767e-103,9.358667054161613e-104,2.842059685675098e-104,1.4118581524502473e-104,3.052426259502722e-104,5.583255547409635e-104,4.325492421649422e-104,4.5847664632056094e-104,9.909083108796925e-104,5.395377837529013e-104,5.868161408814621e-104,7.02815464469488e-105,4.388754672260684e-104,4.969020861188662e-104,1.2403596947602895e-103,8.199156767089392e-104,6.597950674776709e-104,1.8344744246222033e-103,6.431213591459015e-104,1.2979952367836903e-103,3.364675044134088e-104,6.344397768698738e-104,2.704375285272244e-104,5.299841027732456e-104,6.778956655669759e-104,1.3538540886579898e-104,8.704270525011419e-104,4.007904891687075e-104,3.2860132112198104e-104,1.9398804155780124e-104,5.833867090393491e-104,5.64734266576093e-104,6.187294595349317e-104,4.6684239461422317e-104,6.317190505856607e-105,1.6933368188026114e-104,6.121456797074135e-104,1.194295937098387e-104
8.602834658800172e-105,5.5118497293666704e-104,1.0170071048825066e-103,5.051195465377849e-105,3.2963250276733026e-104,1.0217062520427347e-103,1.9529693232820815e-104,8.46030184551017e-104,3.6359736399813234e-104,9.766668001404782e-104,7.751173894870505e-104,8.72521948332031e-104,2.0581964563320794e-104,1.4949664042439237e-105,2.1207274466530174e-104,5.18236239627433e-104,7.122478083850779e-104,1.0697984022380897e-103,3.457989857863563e-104,2.726915041508836e-104,3.2789638698172467e-104,6.918986884614611e-104,3.0771251686798507e-104,9.137076474404198e-15,1.5308107171257555e-103,9.094712372235097e-104,0.915,1.3631264857187954e-103,7.409304663127727e-104,1.0382392356221938e-103,3.043865862530776e-104,7.696349601665271e-104,1.5878102620995744e-103,3.5858943528261535e-104,3.828649920652995e-104,6.486666395972571e-104,3.353529947321402e-104,6.070493658494821e-104,4.345798718060741e-104,5.5131190658910676e-104,7.578380902965127e-104,3.7278419787297945e-105,8.741025010142072e-104,1.3972684886467337e-104,2.155616134923506e-104,6.424774971636564e-104,2.657778698283611e-103,9.22033043728736e-104,5.459773961871023e-104,8.569365758428884e-104
1.0287600165206183e-104,7.616199008114306e-104,2.778949256971313e-104,3.511139667362501e-104,1.5028861371391866e-104,3.280103478571315e-104,5.749831523013746e-104,1.1791216005282308e-30,7.064611934369078e-105,4.534213522574965e-104,8.017813959770451e-104,1.216553772136264e-103,5.869588972728813e-104,3.949902101336464e-104,1.9572151376667254e-104,5.453423476527151e-104,3.207975673623785e-104,5.605838693584349e-104,5.54989742007137e-104,3.4988476683040126e-104,9.227183416239766e-104,1.4858026187189835e-103,6.18503204052334e-104,3.271794724361799e-18,7.575294257717412e-104,2.323964481778043e-104,2.5330582049285786e-104,1.049174654091044e-103,4.280306534136151e-104,8.467083652833842e-104,6.953675838396612e-104,4.4154023746776344e-104,1.01,4.344366564489092e-104,4.6339813688327407e-104,6.480567972286793e-104,1.4268411059333288e-104,5.670291934437772e-104,3.1360611231275475e-104,4.260297851258513e-104,8.859299320724448e-104,4.17306390097366e-104,1.0018003238254782e-103,4.8551876228262384e-104,2.8492964750533784e-104,1.8819235517954136e-103,1.0329588571460906e-104,1.092964106786179e-104,1.533517651581596e-103,2.752022390206685e-103
8.827264851560717e-104,2.8669394786627694e-104,5.710154599308311e-104,7.842767770597617e-104,5.037559276143472e-104,4.0693310564368226e-104,1.1307531975976082e-103,2.619252289857604e-104,1.136759052834299e-103,3.566003760052383e-104,4.3528925352761376e-104,3.187541203019913e-104,1.105,7.626685093855538e-104,8.103752321942056e-104,1.256636125930335e-103,5.2428148562112813e-104,6.157078401012106e-104,1.722839647223629e-104,1.0592098871671897e-103,3.102604533015018e-104,1.4086935186164973e-103,8.763142230511236e-104,5.143736608419811e-104,6.892561574584669e-104,9.189279972611772e-104,2.0502405821840195e-104,3.3785197723028005e-104,8.476749241522138e-104,1.105,1.9493279635174583e-104,4.7549689661882503e-104,2.3428826179741997e-104,6.277281619684243e-104,1.5594737144628005e-103,4.6151613819188975e-104,8.015327495724851e-104,2.0204147145528022e-104,6.360420987749835e-104,3.293390105977525e-104,1.0385986743792218e-103,7.857380339898682e-104,7.625568727320157e-104,1.105,2.5171617378874886e-104,2.505222924230374e-103,2.4504064221220295e-103,2.1013074525595847e-103,6.256199841177683e-104,6.317873694549051e-104
1.2697447548565821e-104,2.0523980005426075e-104,1.3414590973108445e-103,9.54740295577025e-105,3.999235636029302e-104,3.3066664068156e-104,7.076768511673712e-24,8.290840923539934e-104,5.2007025479259147e-104,1.3108062683127996e-103,2.7582479752260963e-104,6.727728535498372e-104,2.4963582081983786e-104,1.4310778928887208e-103,1.993655529749515e-104,4.06124518165937e-104,5.05593480421084e-104,1.2812620057921221e-103,4.15260329065679e-104,9.076327315884619e-105,3.801654683715082e-104,3.024117722409341e-104,1.851574285593787e-104,5.335439303213334e-104,1.9793590948723697e-104,7.927851974628148e-104,7.003995026203151e-104,1.9780062465753777e-104,2.91621914855174e-104,8.268886675439446e-104,4.085985825205114e-104,1.6167738231717935e-104,1.3582208053519802e-103,1.959796336195614e-104,2.3776942507161764e-103,1.6679647873167212e-103,6.966154222782295e-104,5.3621374773618745e-105,6.428192917183674e-104,8.78696581614384e-105,2.3472110849348218e-105,6.698917428524711e-104,4.9336686212413906e-104,3.899213489813114e-104,8.067190441402087e-104,8.749428042292417e-104,1.3835401118343439e-104,6.469604578403779e-104,1.5872990367653195e-104,1.9932182337520156e-104
