Time step,Power,Price of power
1,16.2,0
2,12.7,30.99
3,30.4,31.72
4,58.9,29.38
5,67.2,30.39
6,47.6,30.96
7,45.9,31.19
8,32.5,29.84
9,39.8,30.09
10,37.8,27.98
11,49.3,30.43
12,48.6,28.26
13,52.6,27.12
14,47,27.69
15,48,29.02
16,52.9,28.01
17,61.7,25.15
18,56.8,25.1
19,63.8,26.98
20,64.1,25.65
21,55.2,26.67
22,50.4,25.59
23,49.9,25.7
24,39.7,25.78
25,55.3,25.04
26,57.3,24.74
27,57.5,26.03
28,49.9,26.38
29,46.7,24.54
30,42,25.63
31,32.9,23.47
32,29.6,25.1
33,31.1,23.3
34,27.4,25.85
35,22.2,23
36,13.1,22.26
37,20.5,25.98
38,12.2,28.35
39,7.5,30.91
40,19.2,28.69
41,15.8,40.92
42,10.3,38.3
43,12.3,38.23
44,9.7,72.73
45,8.4,74.92
46,2,74.36
47,6.5,73.87
48,5.1,86.75
49,3.2,84.17
50,2.5,84.38
51,0,90.06
52,0.9,91.17
53,0.8,92.3
54,0,87.89
55,0,88.03
56,0,94.96
57,0,86.37
58,0,87.68
59,0.2,88.7
60,0.4,86.56
61,0.2,86.67
62,0.2,89.49
63,0,88
64,0,88.69
65,0,88.36
66,0,89.21
67,0,89.19
68,0,90.23
69,0,91.16
70,0,92.52
71,0,90.76
72,0,92.85
73,0,90.57
74,0,94.04
75,0,93.33
76,0,92.76
77,0.5,95.04
78,0.3,92.58
79,0.1,95.97
80,0,93.87
81,0.8,95.95
82,0.9,97.03
83,1.2,94.72
84,0.6,95.72
85,0.6,95.35
86,0.9,95.82
87,0.6,98.81
88,0,95.35
89,0.3,97.15
90,0,98.56
91,0,98.65
92,0.1,99.86
93,0.3,97.26
94,0.1,98.64
95,0.2,97.17
96,0.2,97.36
97,0.4,101.04
98,0.2,99.3
99,0.6,100.88
100,0,98.09
101,0,100.76
102,0.4,99.99
103,0,100.11
104,0,101.43
105,0.9,100.37
106,0,103.47
107,0.1,90.37
108,0.4,90.84
109,1.1,91.6
110,0.2,88.9
111,1.7,91.9
112,2.3,89.16
113,1,56.11
114,3,53.87
115,3.8,52.83
116,2.6,45.37
117,3.6,42.49
118,0.8,42.57
119,2.4,43.03
120,0.2,43.17
121,1.2,45.43
122,0,38.89
123,1.7,38.51
124,2,38.54
125,2.9,39.23
