Time ,Time step,WIND-A,WIND-B,WIND-C,Price of power
9/1/04 0:00,1,1.8,12.4,2,0
9/1/04 0:10,2,0.4,10.5,1.8,30.99
9/1/04 0:20,3,18.2,8.8,3.4,31.72
9/1/04 0:30,4,41.1,12.1,5.7,29.38
9/1/04 0:40,5,48.7,13.5,5,30.39
9/1/04 0:50,6,30.2,12.4,5,30.96
9/1/04 1:00,7,31.7,10.4,3.8,31.19
9/1/04 1:10,8,26.1,4.7,1.7,29.84
9/1/04 1:20,9,33.7,3.8,2.3,30.09
9/1/04 1:30,10,37.8,0,0,27.98
9/1/04 1:40,11,46,1.8,1.5,30.43
9/1/04 1:50,12,45,1.8,1.8,28.26
9/1/04 2:00,13,49.6,1.3,1.7,27.12
9/1/04 2:10,14,43.3,2.3,1.4,27.69
9/1/04 2:20,15,41.6,5.2,1.2,29.02
9/1/04 2:30,16,43.7,9.2,0,28.01
9/1/04 2:40,17,48.7,13,0,25.15
9/1/04 2:50,18,43.1,12.8,0.9,25.1
9/1/04 3:00,19,43.7,13.6,6.5,26.98
9/1/04 3:10,20,43.4,12.8,7.9,25.65
9/1/04 3:20,21,34.2,12.4,8.6,26.67
9/1/04 3:30,22,32.7,11.8,5.9,25.59
9/1/04 3:40,23,29,12,8.9,25.7
9/1/04 3:50,24,24.5,8.3,6.9,25.78
9/1/04 4:00,25,42,6.1,7.2,25.04
9/1/04 4:10,26,48.8,3.7,4.8,24.74
9/1/04 4:20,27,50.2,3.9,3.4,26.03
9/1/04 4:30,28,43.6,4.2,2.1,26.38
9/1/04 4:40,29,42.2,4.5,0,24.54
9/1/04 4:50,30,36.9,4.3,0.8,25.63
9/1/04 5:00,31,29.6,3.1,0.2,23.47
9/1/04 5:10,32,26.6,3,0,25.1
9/1/04 5:20,33,28.1,3,0,23.3
9/1/04 5:30,34,24.7,2.7,0,25.85
9/1/04 5:40,35,19.4,2.8,0,23
9/1/04 5:50,36,10.8,2.3,0,22.26
9/1/04 6:00,37,17.7,1.7,1.1,25.98
9/1/04 6:10,38,11,0.8,0.4,28.35
9/1/04 6:20,39,6.7,0.8,0,30.91
9/1/04 6:30,40,18.6,0.2,0.4,28.69
9/1/04 6:40,41,14.3,0.4,1.1,40.92
9/1/04 6:50,42,9.4,0.5,0.4,38.3
9/1/04 7:00,43,9.7,0.7,1.9,38.23
9/1/04 7:10,44,7.5,0,2.2,72.73
9/1/04 7:20,45,4.7,0.8,2.9,74.92
9/1/04 7:30,46,0,0.5,1.5,74.36
9/1/04 7:40,47,1.3,0.7,4.5,73.87
9/1/04 7:50,48,0,0.2,4.9,86.75
9/1/04 8:00,49,0,0.4,2.8,84.17
9/1/04 8:10,50,0,0.4,2.1,84.38
9/1/04 8:20,51,0,0,0,90.06
9/1/04 8:30,52,0,0,0.9,91.17
9/1/04 8:40,53,0,0,0.8,92.3
9/1/04 8:50,54,0,0,0,87.89
9/1/04 9:00,55,0,0,0,88.03
9/1/04 9:10,56,0,0,0,94.96
9/1/04 9:20,57,0,0,0,86.37
9/1/04 9:30,58,0,0,0,87.68
9/1/04 9:40,59,0,0.2,0,88.7
9/1/04 9:50,60,0,0.4,0,86.56
9/1/04 10:00,61,0,0.2,0,86.67
9/1/04 10:10,62,0,0.2,0,89.49
9/1/04 10:20,63,0,0,0,88
9/1/04 10:30,64,0,0,0,88.69
9/1/04 10:40,65,0,0,0,88.36
9/1/04 10:50,66,0,0,0,89.21
9/1/04 11:00,67,0,0,0,89.19
9/1/04 11:10,68,0,0,0,90.23
9/1/04 11:20,69,0,0,0,91.16
9/1/04 11:30,70,0,0,0,92.52
9/1/04 11:40,71,0,0,0,90.76
9/1/04 11:50,72,0,0,0,92.85
9/1/04 12:00,73,0,0,0,90.57
9/1/04 12:10,74,0,0,0,94.04
9/1/04 12:20,75,0,0,0,93.33
9/1/04 12:30,76,0,0,0,92.76
9/1/04 12:40,77,0,0.5,0,95.04
9/1/04 12:50,78,0,0.3,0,92.58
9/1/04 13:00,79,0,0.1,0,95.97
9/1/04 13:10,80,0,0,0,93.87
9/1/04 13:20,81,0,0.8,0,95.95
9/1/04 13:30,82,0,0.9,0,97.03
9/1/04 13:40,83,0,1.2,0,94.72
9/1/04 13:50,84,0,0.6,0,95.72
9/1/04 14:00,85,0,0.6,0,95.35
9/1/04 14:10,86,0,0.9,0,95.82
9/1/04 14:20,87,0,0.6,0,98.81
9/1/04 14:30,88,0,0,0,95.35
9/1/04 14:40,89,0,0.3,0,97.15
9/1/04 14:50,90,0,0,0,98.56
9/1/04 15:00,91,0,0,0,98.65
9/1/04 15:10,92,0,0.1,0,99.86
9/1/04 15:20,93,0,0.3,0,97.26
9/1/04 15:30,94,0,0.1,0,98.64
9/1/04 15:40,95,0,0.2,0,97.17
9/1/04 15:50,96,0,0.2,0,97.36
9/1/04 16:00,97,0,0.4,0,101.04
9/1/04 16:10,98,0,0.2,0,99.3
9/1/04 16:20,99,0,0.6,0,100.88
9/1/04 16:30,100,0,0,0,98.09
9/1/04 16:40,101,0,0,0,100.76
9/1/04 16:50,102,0,0.4,0,99.99
9/1/04 17:00,103,0,0,0,100.11
9/1/04 17:10,104,0,0,0,101.43
9/1/04 17:20,105,0,0,0.9,100.37
9/1/04 17:30,106,0,0,0,103.47
9/1/04 17:40,107,0,0,0.1,90.37
9/1/04 17:50,108,0,0,0.4,90.84
9/1/04 18:00,109,0,0,1.1,91.6
9/1/04 18:10,110,0,0.2,0,88.9
9/1/04 18:20,111,0,0,1.7,91.9
9/1/04 18:30,112,0,0.5,1.8,89.16
9/1/04 18:40,113,0,0,1,56.11
9/1/04 18:50,114,0,0,3,53.87
9/1/04 19:00,115,0,0.4,3.4,52.83
9/1/04 19:10,116,0,0.1,2.5,45.37
9/1/04 19:20,117,0,1.7,1.9,42.49
9/1/04 19:30,118,0,0.8,0,42.57
9/1/04 19:40,119,0,1,1.4,43.03
9/1/04 19:50,120,0,0,0.2,43.17
9/1/04 20:00,121,0,0.6,0.6,45.43
9/1/04 20:10,122,0,0,0,38.89
9/1/04 20:20,123,0.4,0.4,0.9,38.51
